descripcion,id,pregunta
"
            tengo un inconveniente con una consulta en SQL
Cree una query que me trae en formato de 15 minutos las llamadas de un sistema,
el problema es que cuando pongo mas de 1 dia me agrega otra fila.
 por ...
        ",[0],Problema para sumar dias en intervalos SQL SERVER
"
            tengo este programa (está sin terminar), pero tengo un problema, ya que a la hora de anyadir la funcion definida listarEstados() me falla el programa (dentro del menú opción 1). ¿Alguna solución?

...
        ",[1],fallo en el menu
"
            Hola buenas profesionales.

Estoy realizando un ejercicio para clases de SIINF y me he encontrado un problema con el control de errores.

Las directrices a seguir son: 
1er argumento: Número entero ...
        ",[2],Problema con el control de errores de un script Batch
"
            Tengo una función en js que utiliza AJAX para subir un archivo, si no he seleccionado ningún archivo y hago el click al botón subir la acción del js se ejecuta sin problemas (muestra un alert si no se ...
        ",[3],¿Por qué AJAX se ejecuta hasta el 2do click y no en el 1ro?
"
            como puedo paginar un listado de registros que viene de mongodb, implemente un paginador usando asp.net core , blazor y entity freamwork, ya funciona usando dbset y registros de sql intento usarlo de ...
        ",[4],¿como solucionar el error IQueryable doesn't implement IAsyncQueryProvider?
"
            Estoy renderizando una view para mostrar productos, estoy tratando de acomodar unas cards dentro de un row pero no consigo el resultado deseado.Creo estar equivocado en la forma que los aprendi a usar ...
        ",[5],Grids anidados con react-bootstrap?
"
            ¿ me podrian ayudar a lo siguiente?:

Tengo una Lista de objetos.y dentro de mi lista tengo otro objeto con listas quisiera saber la manera de poder agrupar es decir:

Tengo mi clase principal que es ...
        ",[6],Agrupar una lista de objetos dentro de otra lista
"
            Con el código para una sencilla aplicación en mano, me disponía a utilizar buildozer para poder ejecutarlo desde mi móvil.
Como el log es demasiado largo no me permite introducirlo aquí enteramente, ...
        ",[7],Fallo en Buildozer
"
            Tengo un problema con este pequeño codigo, Estoy intentando extraer lo que se encuentra dentro de aquel script, Pero no se me ocurre una forma de declarar la busqueda. Dejo el código.

from bs4 import ...
        ",[8],"Web Scraping Python, Extraer contenido de script"
"
            Al ocultar una Smart Slider en el movil, me sigue dejando un espacio en blanco en el sitio en el que estaba, aunque en el ordenador este espacio no me sale. Solamente añadí esto: 

@media only screen ...
        ",[9],Espacio en blanco al ocultar en el movil
"
            No tengo mucha experiencia con ROR (Rubt-On-Rails), estoy creando una aplicación sencilla por los momentos e implemente Bootstrap 4, realice la instalación como la vi en esta Guía, Todo funciona bien! ...
        ",[10],Aplicación en Rails 5 con Bootstrap 4 no se adapta a dispositivos móvil
"
            he instalado lo siguiente en laravel, este archivo contiene funciones, mi duda es como utilizar estas funciones en el web.php o en un controlador. 
He probado lo siguiente en el web.php y me da este ...
        ",[11],"Importar un fichero que se encuentra en Vendor, Laravel 7"
"
            ¿Cómo puedo agregar una imagen de fondo a un JFrame en Java Swing?

Código:

import java.awt.Graphics;
import java.awt.Image;
import java.net.URL;
import javax.swing.ImageIcon;
import javax.swing....
        ",[12],Agregar imagen de fondo a un JFrame
"
            necesito ayuda con mi app de ionic, ya que al ejecutar ""ionic cordova build android"" e instalar el apk generado en mi smartphone solo funciona a medias, algunos elementos no aparecen, a pesar de que ...
        ",[13],al instalar el apk de mi app ionic en mi smartphone no funciona completa
"
            programando en Xcode una aplicacion que llama unos servicios nuevos. El llamado de otros servicios funcionan normalmente pero el llamado de otros Servicio Rest de otro servidor  solo funciona una vez ...
        ",[14],"llamado Servicio API solo funciona una vez , segunda llamada del servicio da error 1001 - usando AlamoFire en SWIFT"
"
            No se si alguien le ha ocurrido el problema en donde se tenia un proyecto en visual studio 2015 peor por x o y razón se tuvo que cambiar de equipo e instalar la versión de visual studio 2017 cuando ...
        ",[15],Error al migrar solucion de visual studio 2015 a visual studio 2017
"
            sucede que que estoy intentando agregar una caja de Macarrones en mi sitio web de Shopify y no encuentro solución, no hay una app que haga esto.

Necesito hacer algo como esta página https://www....
        ",[16],Cómo desarrollar un producto “Build a Box” en Shopify
"
            Hola que tal tengo un problema con el carousel de materialize ,
el caso es el siguiente tengo un carousel que debajo esta el navbar, el carousel solo muestra la mitad o solo una parte de la imagen tal ...
        ",[17],Problemas con el carousel de materialize
"
            Quiero hacer una función que cuando se ejecute las acciones tengan una pausa como de tres segundos entre si por si no me entieden he intentado esto:

  function allplay(){
           word.play();
     ...
        ",[18],¿Como puedo crear una pausa del programa en Javascript?
"
            ya que es MVC no se como realizarla
        ",[19],necesito llenar un select con los campos de otra tabla
"
            Estoy haciendo una clase que simule las LinkedList de java, debido a que el manejo de estas es diferente a los arrays me encuentro atascado con un par de métodos.
En el código que dejo a continuación ...
        ",[20],Manejo de LinkedList
"
            Soy nuevo en python y estaba intentado crear un programa que con dos numeros que ingreso me diga si los valores son iguales o no pero me salta ese error al ejecutar el programa. 

def validar_numeros(...
        ",[21],Me salta un error IndentationError: expected an indented block
"
            estoy intentando llenar un input tipo time con la hora actual de esta manera:

<?php 
ini_set('date.timezone','America/Bogota');

$hora=date(""g:i A"");
?>
Y de esta forma estoy llenando el input ...
        ",[22],Mi input tipo time no se llena automáticamente con php
"
            puedo renderizar una constante?

const myTitle = <h1>hello world</h1>;

class TodoApp extends Component {
  render() {

    return (myTitle)
  }
}
quiero renderizar esta constante myTitle
...
        ",[23],Como renderizar una constante?
